mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267627.121799,1757267627.121799,0.0,7,7,723,276,8.945454597473145,-1.298085331916809,9.012533187866211,-1.3384430408477783,1.5353155136108398,1.0,0.8778533935546875,-0.0670785903930664,0.04035770893096924,0.07828334407316549,9.039147276396761,9.111376637807469,-0.07222936141070768
1757267627.121799,1757267627.121799,0.0,8,8,672,261,12.38636302947998,-0.5598365068435669,12.241592407226562,-0.6198482513427734,2.379058361053467,1.0,0.8447556495666504,0.14477062225341797,0.06001174449920654,0.15671612088575917,12.399008267295544,12.25727524857624,0.14173301871930377
1757267627.121799,1757267627.121799,0.0,11,11,565,278,8.762043952941895,1.3110042810440063,9.111213684082031,1.4095946550369263,1.5171552896499634,0.0,0.7990332245826721,-0.3491697311401367,-0.09859037399291992,0.36282166830074963,8.859579361245167,9.219608011651706,-0.3600286504065391
1757267627.1717641,1757267627.1717641,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.22865891456604,1.4397165775299072,-0.18704760074615479,3.0,0.9322788715362549,-0.5546951293945312,-0.026057839393615723,0.5553068499198252,2.19102391177614,2.6532441239149307,-0.46222021213879083
1757267627.1717641,1757267627.1717641,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.3907980918884277,-1.3896938562393188,-0.12953859567642212,3.0,0.9399926662445068,-1.455974817276001,-0.060086846351623535,1.457214156411599,1.725038735901947,2.765350706555437,-1.04031197065349
1757267627.1717641,1757267627.1717641,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.5702013969421387,1.4433238506317139,-0.19351647794246674,0.0,0.9114996194839478,-1.6825702786445618,-0.033780574798583984,1.6829093468787204,1.6657434522208387,2.9477311544042952,-1.2819877021834565
1757267627.1717641,1757267627.1717641,0.0,3,0,353,428,1.321621060371399,1.4148409366607666,2.875582695007324,1.4520167112350464,-0.017841486260294914,3.0,0.9443348050117493,-1.5539616346359253,-0.037175774574279785,1.5544062532477005,1.9360932578954806,3.221386093831571,-1.2852928359360902
1757267627.1717641,1757267627.1717641,0.0,4,4,523,309,5.334138870239258,1.3388067483901978,5.936703681945801,1.396979808807373,0.6866322159767151,0.0,0.9072293639183044,-0.602564811706543,-0.05817306041717529,0.6053663826685802,5.499585529522427,6.098852612864515,-0.5992670833420872
1757267627.1717641,1757267627.1717641,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.089711666107178,-1.4302839040756226,0.7510761618614197,1.0,0.9067632555961609,-0.6117353439331055,0.0007332563400268555,0.6117357833916658,5.661434415476438,6.2554216662491795,-0.5939872507727415
1757267627.1717641,1757267627.1717641,0.0,6,7,876,394,1.7511073350906372,-1.3933608531951904,2.7978532314300537,-1.414211392402649,-0.13548558950424194,1.0,0.8835970163345337,-1.0467458963394165,0.020850539207458496,1.0469535407498511,2.2378184390662845,3.134960377265562,-0.8971419381992773
1757267627.1717641,1757267627.1717641,0.0,7,6,909,412,1.3969670534133911,-1.4499597549438477,3.0503549575805664,-1.3486610651016235,0.04254070669412613,3.0,0.9044225811958313,-1.6533879041671753,-0.10129868984222412,1.6564881485268996,2.013429968804308,3.3351989499514696,-1.3217689811471618
1757267627.1717641,1757267627.1717641,0.0,8,8,723,276,8.945454597473145,-1.298085331916809,9.295104026794434,-1.3804073333740234,1.5834524631500244,1.0,0.8757199645042419,-0.34964942932128906,0.08232200145721436,0.3592097372686669,9.039147276396761,9.39704651871868,-0.3578992423219187
1757267627.1717641,1757267627.1717641,0.0,9,9,672,261,12.38636302947998,-0.5598365068435669,12.078222274780273,-0.6115760803222656,2.34730863571167,1.0,0.8415125608444214,0.30814075469970703,0.05173957347869873,0.31245432973582343,12.399008267295544,12.093695821419551,0.3053124458759928
1757267627.1717641,1757267627.1717641,0.0,12,12,565,278,8.762043952941895,1.3110042810440063,9.076643943786621,1.4042463302612305,1.5201084613800049,0.0,0.7995072603225708,-0.31459999084472656,-0.09324204921722412,0.3281268565383353,8.859579361245167,9.184626995057037,-0.3250476338118702
1757267627.221699,1757267627.221699,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.244262933731079,1.4497967958450317,-0.18835721909999847,3.0,0.9318267107009888,-0.5702991485595703,-0.036138057708740234,0.5714429788375487,2.19102391177614,2.671820889386441,-0.48079697761030094
1757267627.221699,1757267627.221699,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.3965296745300293,-1.39072585105896,-0.1298491507768631,3.0,0.9379575848579407,-1.4617063999176025,-0.05905485153198242,1.4628988601573052,1.725038735901947,2.7708253055194,-1.0457865696174529
1757267627.221699,1757267627.221699,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.5723094940185547,1.4445077180862427,-0.1936751902103424,0.0,0.9130765795707703,-1.6846783757209778,-0.03496444225311279,1.685041169183692,1.6657434522208387,2.9501489251610193,-1.2844054729401806
1757267627.221699,1757267627.221699,0.0,3,0,353,428,1.321621060371399,1.4148409366607666,2.876235246658325,1.4551061391830444,-0.017845535650849342,3.0,0.9452097415924072,-1.5546141862869263,-0.04026520252227783,1.5551355422402005,1.9360932578954806,3.223362075598685,-1.2872688177032043
